Num,Category,Title,Author,Year,Tom,Quantity,Publisher,Notes
342,Нон-фікшн,Успішні виступи на TED. Рецепти найкращих спікерів,Кріс Андерсон,2017,1,,Наш формат,
343,Нон-фікшн,Чому не варто боятися фемінізму,Тамара Марценюк,2018,1,,Комора,
345,Нон-фікшн,"Жінки в добу змін, 1989-2009: Польща, Чеська республіка, Словаччина, Східна Німеччина та Україна",,2012,1,,,
346,Нон-фікшн,Жінки центральної та Східної Європи у другій світовій війні: гендерна специфіка досвіду в часи екстремального насильства,,2018,1,2,,
347,Нон-фікшн,"""Жіночий університет Святої Ольги"" Історія київських вищих жіночих курсів",Катерина Кобченко,2007,1,,,
348,Нон-фікшн,Сміття і люди. Зворотній бік споживання,Томас Гілланд Еріксен,2016,1,,Ніка-Центр,
349,Художня,Парфуми. Історія одного вбивці,Патрік Зюскінг,2022,1,,Фоліо,
350,Художня,Володар Мух,Вільям Ґолдінґ,2021,1,,BOOKCHEF,
351,Художня,Який чудесний світ новий!,Олдос Гакслі,2021,1,,BOOKCHEF,
352,Художня,Убивства за абеткою,Аґата Крісті,2020,1,,КСД,
353,Художня,"Вбивство у ""Східному експресі""",Аґата Крісті,2020,1,,КСД,
354,Художня,Карти на стіл,Аґата Крісті,2020,1,,КСД,
355,Художня,Янкі з коннектикуту при дворі короля Артура,Марк ТВЕН,2019,1,,Знання,
356,Художня,Аліса в країні див,Льюїс Керрол,2010,1,,А-БА-БА-ГА-ЛА-МА-ГА,
357,Художня,Щиголь,Донна Тартт,2016,1,,КСД,
358,Художня,У затишку дівчат-квіток,Марсель Пруст,2009,1,,Фоліо,
359,Художня,Крадійка книжок,Маркус Зузак,2022,1,,КСД,
360,Художня,Гобсек,Оноре де бальзак,2019,1,,BOOKCHEF,
361,Художня,Хлопчик у смугастій піжамі,Джон Бойн,2017,2,,Видавництво Старого Лева,
362,Химерія,Із крові й попелу,Дженніфер Л. Арментраут,2023,1,,BOOKCHEF,
363,Художня,Компас,Маміас Енар,2017,1,,Видавництво Старого Лева,
364,Художня,Читанка для Мануеля,Хуліо Кортасар,2009,1,,Фоліо,
365,Художня,Рік Оракула,Чарльз Соул,2018,1,,КМБУКС,
366,Історія,Інтерпретації російсько-українського конфлікту,Володимир Кулик,2020,1,,,
367,Історія,Проблеми історії війн і військового мистецтва,,2021,3,,,
368,Нон-фікшн,Олег Сенцов,Олександр Мимрук,2017,1,,Фоліо,
369,Нон-фікшн,Автобіографія у чотири руки,Єжи Ґєдройць,2015,1,,Дух і літера,
370,Історія,Могутня Ганза,Наталія Подаляк,2009,1,,Темпора,
371,Історія,Історія на шпангоутах. Проєкт реставрації старовинних кораблів,,2016,1,,,
372,Історія,Львівське товариство єврейської культури та синагога Якуба Гланцера,,2021,1,,,
373,Історія,Очима дванадцятирічної дівчинки,Яніна Гешелес,2016,1,3,Дух і літера,
374,Історія,Хозари в історії Східної Європи,О. Б. Бубенок,2019,1,,,
375,Історія,Августин Волошин і Карпатська Україна в історії українського державотворення,"Степан Віднянський, Микола Вегеш",2021,1,,,
376,Політика,Культурний імператив соціально-економічного розвитку: цивілізаційний аспект,"С. А. Давимука, Л. І. Федулова",2019,1,,,
377,Політика,Industrial Democracy: Yugoslav Style,Ichak Adizes,1977,1,,,
378,Політика,Сингапурська історія. Мемуари Лі Куан Ю,,,2,,,
379,Історія,Islamic history,Adam J. Silverstein,,1,,Oxford,
380,Політика,Трансформація соціал-демократії. Партія на шляху у XXI століття,Томас Майєр,2004,1,,,
381,Політика,Покора авторитету. Погляд експериментатора,Стенлі Мілґрем,2019,1,,КСД,
382,Історія,Словʼянофільство - духовний феномен XIX століття,Надія Шип,2021,1,,,
383,Політика,Соціальна напруженість в кризовому соціумі,,2019,1,,,
384,Політика,Грошова глобалізація,Олександр Шаров,2020,1,,,
385,Політика,Плинні ідеології,Володимир Єрмоленко,2018,1,,Дух і літера,
386,Політика,Два трактати про правління,Джон Лок,2023,1,,Наш формат,
387,Політика,Політика для початківців,Алекс Фріт,2009,1,,книголав,
388,Політика,Майдан. Свідчення. Допомога постраждалим. Міжнародна солідарність ,Леонід Фінберга,2018,1,,Дух і літера,
389,Політика,Площі та вежі,Ніл Ферґюсон,2018,1,,Наш формат,
390,Політика,Плутократи,Христя Фріланд,2017,1,,Наш формат,
391,Місто,Урбанізм і фемінізм,,2018,1,,,
392,Місто,Як будувати на віки. Архітектура поза часом,Крістофер Александер,2020,1,,Основи,
393,Місто,Міста і люди,Йозеф Рот,2019,1,,,
394,Політика,Як ми пережили комунізм і навіть сміялися,Славенка Дракуліч,2019,1,,Yakaboo,
395,Політика,Четверта республіка,Борис Ложкін,2016,1,,,
396,Політика,Подолати минуле: глобальна історія України,Ярослав Грицак,2021,1,,Портал,З підписом
397,Політика,Проста конституція,,,1,,,
398,Політика,Триптих про призначення України,Юрій Шевельов,2017,1,,Видавець Олександр Савчук,
399,Політика,Вʼячеслав Липинський: хлібороб і жовнір,Ігор Гирич,2019,1,,,
400,Українськість,Леся Українка,Леся Українка,2021,1,,,
401,Історія,Статті,Симон Петлюра,1993,1,,Дніпро,
402,Історія,Хортиця. В письмових джерелах та свідченнях,Вʼячеслав Саричев,2019,1,,,
403,Історія,Суспільно-політичні твори,Микола Міхновський,2015,1,,Смолоским,
404,Історія,Західна Європа та Гетьманщина в середині XVII-XVIII ст.,Олександр Гуржій,2021,1,,,
405,Історія,Феномен української національної революції XVII століття,"Валерій Смолій, Валерій Степанков",2019,1,,,
406,Історія,Шлюб в Україні у демографічному вимірі: Історія і сучасність,Людмила Слюсар,2021,1,,,
407,Історія,Русь і Польща в міжнародному житті Європи,Олександр Головко,2021,1,,,
408,Історія,"Людина, Суспільство, Влада в давній та ранньомодерній Україні",,2020,1,,,
409,Історія,Самійло,Ярослав Яріш,,1,,Час майстрів,
410,Історія,In sclavenia terra,Ярослав Яріш,2018,2,,,
411,Історія,Пригоди Марка у княжому Києві,Сергій Тараненко,2022,1,,"2 книги, одна англійською",
412,Історія,Історія запорозьких козаків 2,Д. І. Яворницький,1990,2,,Наукова думка,
413,Історія,Річ Посполита про козаків,Дмитро Вирський,2021,1,,,
414,Історія,Історія хазар,А. Ю. Кримський,2018,1,,,
415,Укрліт,Тіні забутих предків,Михайло Коцюбинський,2023,1,,Брустури,
416,Українськість,Філософія театру,Курбас,2022,1,,Основи,
417,Українськість,Філософія української ідеї та європейський контекст,Оксана Забужко,2023,1,,Комора,
418,Художка іноземною,Hannibal,Thomas Harris,2000,1,,Arrowwbooks,
419,Художка іноземною,Tender is the night,F. Scott Fitzgerald,1955,1,,Green penguin,
420,Укрліт,Зоряний корсар,Олесь Бердник,1971,1,,,
421,Історія,Павло Скоропадський Спогади,Павло Скоропадський,2017,1,,Наш формат,
422,Художка іноземною,Die un langweiligste schule der welt,Sabrina J. Kirschner,,1,,carlsen,
423,Мистецтво,"Художники й куратори -- конкуренти, співавтори чи колеги?",Доротея Ріхтер,2018,1,,,
424,Античність,Трагедії,Евріпіт,1993,1,,Основи,
425,Художня,Колекціонер,Джон Фаулз,2023,1,,BOOKCHEF,
426,Химерія,Буфонада,Курт Воннеґут,2018,1,,,
427,Мистецтво,Reporters,,2022,1,,,
428,Графічні романи,Скотт Пілігрим. Скотт Пілігрим і його чудове маленьке життя 1,Браян Лі Оʼмеллі,,1,,Oni press,
429,Укрліт,Повія,Панас Мирний,2021,1,,Андронум,
430,Поезія,Задивляюсь у твої зіниці. Вибрані вірші,Василь Симоненко,2023,1,,А-БА-БА-ГА-ЛА-МА-ГА,
431,Історія,Крути,Осип і Надія Зінкевичі,2017,1,,Смолоскип,
432,Українськість,Пороги. Вибране,,2009,1,,Смолоскип,
433,Історія,Повоєнний СРСР,Ярослав Грицак,2023,1,,Портал,
434,Історія,Світові війни,Олександр Маєвський,2022,1,,Портал,
435,Українськість,Пригоди української літератури,Ростислав Семків,2023,1,,Темпора,
436,Укрліт,Дівчина з ведмедиком. Доктор Серафікус,В. Домонтович,2022,1,,2022,
437,Освіта,Школознавство,Галина Ткачук,2020,1,,Портал,
438,Українськість,Бунт проти імперії,Радомир Мокрик,2023,1,,А-БА-БА-ГА-ЛА-МА-ГА,
439,Химерія,Лавкрафт,Говаря Філіпс,2023,1,,Майстри готичної прози,
440,Художня,Над зозуленим гніздом,Кен Кізі,2023,1,,КМБукс,
441,Історія,Повітряна війна і література,В. Ґ. Зебальд,2023,1,,,
442,Історія,"Portable and Parietal Art of Kamyana Mohyla, Ukraine",Симон Радченко,2023,1,,BAR,
443,Графічні романи,Інша. Перша чверть. アナザー,Аяцуджі Юкіто,2023,1,,Molfar Comics,
444,Нон-фікшн,Фріда Кало. Безжальна врода,Жерар Де Кортанз,2016,1,,Нора Друк,
445,Нон-фікшн,"Право на помилку. 25 успішних жінок розповідають про те, чого їх навчили власні помилки",Джессіка Бекол,2018,1,,,
446,Художня,Дівчата з 13-ї вулиці,Малгожата Гутовська-Адамчик,2014,1,,Урбіно,
447,Філософія,Історія та істина,Поль Рікер,2001,1,,Пульсари,
448,Філософія,Евристика,Н. В. Карамишева,2013,1,,ПАІС Львів,
449,Філософія,Майбутнє. Логіко-філософське дослідження,Н. В. Карамишева,2016,1,,,
450,Політика,Джерела тоталітаризму,Ханна Арендт,2002,1,,Дух і літера,
